reaction	linear_coefficient
r_0225	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0226	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0227	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0228	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0229	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0230	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0231	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0232	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0233	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0234	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0235	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0236	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0237	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0238	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0239	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0240	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0241	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0242	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0243	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0244	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0245	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0246	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0247	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0248	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0249	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0250	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0251	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0252	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0253	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0254	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0255	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0256	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0257	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0258	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0259	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0260	[0.0022122397748015805, 0.002609803025051831, 0.0038269282722842002]
r_0261	[0.0022122397748015805, 0.002609803025051831, 0.0038269282722842002]
r_0262	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0263	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0264	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0265	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0266	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0267	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0268	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0269	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0270	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0271	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0272	[0.9677147428353527, 1.0, 1.0]
r_0273	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0274	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0275	[0.015960693230154352, 0.01546696331701107, 0.010179593274429292]
r_0276	[0.9677147428353527, 1.0, 1.0]
r_0277	[0.9677147428353527, 1.0, 1.0]
r_0278	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0279	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0280	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0281	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0282	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0283	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0284	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0285	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0286	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0287	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0288	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0289	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0290	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0291	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0292	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0293	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0294	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0295	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0296	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0297	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0298	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0299	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0300	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0301	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0302	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0303	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0304	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0305	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0306	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0307	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0308	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0309	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0310	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0311	[0.003528758348102029, 0.003661400293873286, 0.004057015962291221]
r_0312	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0313	[0.0049494432439269875, 0.009644435281220637, 0.01191366879179928]
r_0314	[0.09444630893547903, 0.12013963462201872, 0.11513325128690034]
r_0315	[0.0049494432439269875, 0.009644435281220637, 0.01191366879179928]
r_0316	[0.010866821788312504, 0.011227365906920334, 0.01490480876189056]
r_0317	[0.037658252501511044, 0.07251334778934183, 0.11513325128690034]
r_0318	[0.007789390186589103, 0.011227365906920334, 0.012850855236462039]
