gene_name	0pc_KM-1	0pc_KM-2	0pc_KM-3	0pc_100d-1	0pc_100d-2	0pc_100d-3	4pc_KM-1	4pc_KM-2	4pc_KM-3	4pc_100d-1	4pc_100d-2	4pc_100d-3	6pc_KM-1	6pc_KM-2	6pc_KM-3	6pc_100d-1	6pc_100d-2	6pc_100d-3
SDS3	329.60745	385.0215	175.2942	653.01091	528.82316	570.77265	108.14295	225.57987	475.9367	297.02385	308.67393	331.55602	350.38816	460.49277	465.06429	414.36636	409.77369	480.71903
SDT1	183.11525	176.98569	202.17982	1919.3638	1414.487	1046.8946	998.66701	1047.7706	1116.1722	2185.3235	2082.5062	2321.9937	313.5549	251.42905	304.75488	1376.525	1426.4631	1180.7853
SEA4	186.25437	159.39062	149.48401	815.75506	433.17515	350.87699	54.071473	67.93525	76.31947	137.2529	85.511022	107.94847	281.44386	314.97706	440.01595	325.69196	330.9169	346.4457
SEC1	93.127183	83.835326	95.712787	289.88802	234.52158	151.05876	22.069989	20.032189	32.859772	43.963819	32.327338	34.146966	174.72186	165.7774	172.83359	140.88456	184.46857	162.97298
SEC10	247.99036	218.38585	271.00699	618.42777	641.02564	447.43987	61.795969	87.096474	118.71918	143.68663	96.982013	134.38483	317.33267	262.48088	318.94894	325.69196	390.05949	338.2458
SEC11	195.67172	139.72554	168.84166	248.18483	240.95942	268.65514	43.036479	38.322449	64.659551	122.24086	91.767926	101.33938	233.27729	247.74511	274.69686	246.13361	222.48881	294.17135
SEC12	475.05327	464.71681	477.48851	1783.0656	1593.827	1479.0373	1481.9998	1445.8015	1491.4096	1966.5767	1910.4414	2021.2801	1132.3865	1128.2073	1108.8068	1840.6153	1812.2981	1796.8027
SEC13	446.80121	430.56167	460.28172	841.18383	798.29305	772.50302	102.62545	144.58015	252.27825	350.63827	270.08969	252.24694	730.99847	724.81562	786.51807	670.44476	590.01779	714.41613
SEC14	515.86181	411.9316	418.34016	723.19432	652.06195	658.73092	460.15927	591.38506	608.43577	624.07178	510.9805	586.00599	996.38681	964.27186	1004.4387	1118.7892	1220.8721	1224.8598
SEC15	251.12948	186.30072	267.78072	862.544	944.52416	653.95058	48.553976	49.64499	52.999632	149.04807	152.25133	170.73483	243.66616	158.40951	169.49381	455.80299	512.56915	460.21929
SEC16	889.41692	698.62771	846.35914	1717.9679	1224.1107	1119.5557	376.29331	336.19239	330.7177	394.60209	317.01647	350.28178	1201.3308	1104.2617	920.94419	1432.0501	1575.7277	1607.18
SEC17	810.93896	835.24824	760.32517	1350.7765	1366.663	1529.709	826.52109	861.38413	1073.7725	1337.1435	1209.6681	1099.312	1444.997	1314.2464	1375.9892	1504.1499	1330.7084	1504.6813
SEC18	1162.5202	1138.5044	1228.1349	1940.724	1595.6664	1767.7699	527.47274	533.03042	552.25617	793.49333	600.66279	617.94993	1246.6641	1262.6712	1396.0278	1379.84	1374.3612	1504.6813
SEC2	170.55877	187.33573	124.74925	816.77221	532.50193	524.88139	142.35143	176.80584	343.43762	478.24057	407.74158	366.8045	226.66619	371.15717	476.75352	352.2114	335.14137	331.07089
SEC20	52.318642	46.575181	45.167832	300.05953	181.17941	115.68424	32.001484	67.064285	72.079499	105.08425	93.853561	90.324232	95.38869	112.36024	164.48414	159.11668	132.36676	165.02295
SEC21	1548.6318	1424.1655	1599.1563	2859.2113	1951.5874	1980.9731	407.1913	471.19193	529.99632	668.0356	593.36307	581.59993	2652.9389	2765.7196	2835.4728	2003.8757	2026.3379	2184.2479
SEC22	870.58221	727.60783	801.1913	871.69836	1012.5814	1012.4761	369.67232	380.61159	463.21678	714.14399	693.47354	663.11205	379.66587	370.23619	433.33639	662.98617	644.93591	672.39165
SEC23	668.63225	601.33734	762.47602	1135.1405	982.23155	955.11203	169.93892	185.51549	237.43835	225.18054	148.08006	224.70907	961.44244	854.67458	983.56506	758.29043	895.58786	873.28916
SEC24	687.46696	597.19732	721.60989	1035.4597	1053.0479	1058.3674	347.60233	304.83766	311.63784	354.92742	289.90322	312.83027	938.77582	831.64995	909.25497	1119.6179	1165.954	1164.3855
SEC26	962.66302	862.15835	1033.483	1994.633	1348.2691	1355.7046	137.93743	139.35436	207.75856	346.34911	215.86319	265.46512	1452.5525	1333.5871	1472.0078	1101.3858	1339.1573	1232.0347
SEC27	542.02113	399.51155	547.39111	1713.8993	1020.8586	840.38386	97.107952	126.28989	129.3191	342.05996	191.87839	240.13028	969.94242	1037.9507	1043.6811	897.51752	1060.3422	1133.6359
SEC28	207.18182	172.84567	218.31119	257.33919	319.13328	400.59253	110.34995	106.2577	143.09901	130.81917	119.92399	120.06514	514.72115	454.04587	502.63681	314.0897	302.75376	376.17033
SEC3	599.57164	400.54656	383.92657	2103.4682	1229.6288	1167.3591	579.33721	552.19165	499.25653	842.81859	701.81607	731.40598	368.33256	505.62106	763.97456	735.08591	651.9767	731.84091
SEC31	1276.5749	1188.1846	1452.8986	1524.7093	1462.311	1536.4014	265.94337	241.25723	255.45823	428.91531	268.00406	312.83027	1396.8304	1270.0391	1242.398	1362.4366	1492.6464	1601.0301
SEC39	68.014235	48.645189	62.374625	193.25868	179.34003	129.06919	25.380487	46.161131	45.579683	75.06018	33.370155	60.583326	203.99957	173.14528	169.49381	247.79108	297.12113	255.22183
SEC4	1788.2512	1897.1624	1621.7402	1970.2214	2276.2388	2286.9149	1283.3699	1329.0922	1379.0504	1357.517	1353.5769	1285.468	1950.2737	1878.8105	1876.9561	1805.8086	1836.2367	1779.3779
SEC5	506.44446	475.06685	518.35464	1000.8765	745.87058	556.43163	183.18091	227.3218	263.93817	287.37326	235.67672	263.26209	486.38787	510.22599	509.31637	469.06271	523.83441	405.89496
SEC53	55.457761	31.050121	50.544955	47.806094	64.378472	99.431082	109.24645	123.67699	129.3191	109.3734	101.15328	110.1515	481.66566	499.17416	602.8302	385.36071	447.79393	479.69404
SEC59	310.77274	324.99126	235.51798	457.71793	438.6933	357.56947	50.760975	80.999721	133.55907	136.18061	99.067648	126.67423	260.66612	289.18946	328.96828	215.4705	236.57038	201.92249
SEC6	274.14969	299.11616	317.25025	546.21006	552.73517	519.14498	94.900953	100.16095	121.89915	143.68663	118.88118	135.48635	381.55476	331.5548	392.42409	347.23901	385.83502	340.29577
SEC61	755.48119	645.84251	804.41758	365.15719	469.96285	594.67436	43.036479	62.709462	73.139492	75.06018	50.055233	68.293932	871.7204	798.49447	789.85785	751.66057	844.89421	815.88987
SEC62	227.06291	222.52586	177.44505	288.87087	364.19821	362.34981	90.486955	128.90278	205.63857	218.74681	188.74994	176.2424	482.6101	560.8802	616.18932	392.8193	415.40632	417.16982
SEC65	138.12122	122.13047	139.80519	249.20198	306.25759	313.59034	98.211451	157.64462	219.41848	284.15639	282.6035	252.24694	239.88839	212.74766	242.13401	403.59283	361.89635	399.74504
SEC66	148.58494	133.51552	143.03147	376.34585	430.41607	326.97529	111.45344	155.03172	249.09827	249.84317	200.22093	267.66815	331.49931	332.47578	344.83223	349.7252	404.14106	342.34575
SEC7	1512.0088	1203.7097	1456.1249	1875.6263	1018.0996	1053.587	1084.74	1080.8672	967.77328	832.0957	721.6296	760.04537	2060.7735	1605.2778	1441.9498	1825.6982	1926.3588	1913.6512
SEC72	127.65749	120.06047	158.08741	128.16102	164.62495	150.10269	62.899469	60.096567	83.739419	104.01196	64.654675	79.309082	263.49945	233.93033	202.8916	279.28292	309.79454	307.49618
SEC8	148.58494	162.49563	164.53996	857.45825	544.45794	429.27458	68.416966	60.967532	104.93927	191.9396	140.78034	165.22725	246.49949	338.92268	458.38474	376.24465	409.77369	375.14534
SEC9	514.81544	475.06685	405.43506	1579.6354	1377.6993	1152.0621	1038.393	1099.1575	1343.0107	1500.1313	1362.9623	1255.7271	849.99823	925.59047	993.5844	1242.2703	1112.444	1287.384
SED5	302.40175	322.92125	272.08242	642.8394	485.59762	486.63866	598.0967	548.70779	507.73647	493.25261	467.18217	490.17419	569.49881	726.65759	728.90687	458.28919	478.77338	462.26926
SEE1	105.68366	81.765318	120.44755	62.046208	118.64033	112.81604	40.82948	42.677272	57.239603	64.337297	49.012415	52.872721	217.22177	194.32795	144.44546	112.70765	143.63201	120.9485
SEF1	1969.2737	2313.234	2087.3991	1580.6526	1761.2111	1614.799	3632.7202	3338.4079	2944.6596	3272.6238	3464.2392	3449.9451	639.38755	699.94901	677.97524	1343.3757	1337.7492	1198.2101
SEH1	370.41599	305.32619	411.88761	251.23628	358.68006	399.63646	54.071473	53.128849	56.17961	114.73485	59.440589	114.55756	467.49902	443.91503	458.38474	384.53198	422.4471	430.49465
SEN1	38.715795	33.120129	40.866134	70.183415	86.451091	97.518946	124.69544	123.67699	102.81929	94.361369	82.38257	99.136352	243.66616	186.96007	141.94063	353.86887	461.8755	323.89598
SEN15	20.927457	10.35004	12.905095	50.857547	75.414782	56.408018	18.759491	63.580426	92.21936	109.3734	113.66709	87.019687	44.388796	69.073916	53.436472	83.702004	80.26495	85.073944
SEN2	63.828744	45.540177	37.63986	121.04096	70.816319	52.583745	19.86299	28.741837	28.619801	45.036108	39.627059	31.943936	97.277575	151.04163	179.51315	101.10539	83.081264	106.59868
SEN34	17.788338	20.70008	20.433067	96.62934	51.502778	46.847337	3.3104984	7.8386827	13.779904	22.518054	15.64226	14.319695	70.833186	92.098554	96.853605	29.005645	22.530512	33.82458
SEN54	21.97383	30.015117	23.65934	45.771793	66.217857	46.847337	55.174973	62.709462	60.41958	69.698738	57.354954	56.177266	59.499876	81.046728	60.950976	96.961727	129.55044	95.323816
SEO1	196.71809	299.11616	202.17982	136.29823	131.51602	189.30148	210.7684	286.5474	376.29739	1501.2036	1445.3448	1249.118	174.72186	306.68819	381.56981	168.23274	168.97884	191.67262
SER1	175.79064	338.44631	181.74675	187.15577	224.40496	287.7765	281.39236	324.86985	287.25801	231.61427	169.97923	194.96816	550.60996	466.01869	469.23902	391.16184	363.30451	409.99491
SER2	24.066575	21.735084	25.81019	20.343019	35.868006	47.803405	62.899469	63.580426	39.219728	65.409585	59.440589	62.786356	108.61088	99.466439	100.19338	65.469884	85.897578	98.398778
SER3	193.57898	489.5569	234.44256	329.55691	311.77574	419.71389	244.97688	262.16039	223.65845	874.98724	512.02332	675.22871	797.10945	567.3271	637.89788	769.89269	833.62895	849.71445
