Genes	SRR5318962	SRR5318963	SRR5318964	SRR5318965	SRR5318966	SRR5318967	SRR5318968	SRR5318969	SRR5318970	SRR5318971	SRR5318972	SRR5318973	SRR5318974	SRR5318975	SRR5318976	SRR5318977	SRR5318978	SRR5318979
KLMA_40148	1476.96868219362	1527.36995671266	540.349243369065	599.889690322591	214.173001729642	225.501081730599	1885.65948861057	2069.62131256864	929.818607757665	945.481490193098	231.422242978604	210.820094994467	1464.01741214394	1810.88839152978	585.641620742681	579.836907259819	201.173645520104	196.435487781894
KLMA_40149	184.717694947293	181.324133898509	319.058356736403	296.310844241355	1011.02255228257	1012.30376907323	109.28922582228	133.26772631039	255.880314537962	249.245961099996	1156.32938299106	1225.99993704474	246.942696024278	324.83977332596	383.38394759959	336.645237365133	1337.88652061337	1350.92475807899
KLMA_40150	7.72877384716705	13.8851814246606	42.0505247758027	34.6627780055924	72.4408682320846	70.2648298146069	58.8480446735353	52.954063434592	56.4618534426489	50.2306911400502	58.6373926466056	56.7592563446641	49.3885392048557	41.0716954779949	24.1501699275332	27.6112812980866	70.3289980273533	98.2177438909471
KLMA_40151	6.95589646245035	4.08387688960606	10.5126311939507	8.94523303370127	12.5984118664495	9.80439485785212	6.72549081983261	9.70824496300853	8.4092122148626	12.7166306683671	10.1638147254116	5.67592563446641	3.52775280034683	0	9.05631372282496	18.0535300795182	11.4489066556157	15.5080648248864
KLMA_40152	98.1554278590216	121.69953131026	97.7674701037413	119.642491825754	119.68491273127	129.09119896172	107.607853117322	119.146642727832	124.336209176897	110.634686814794	150.11172517531	122.437824400632	134.05460641318	100.812343445988	93.5819084691913	117.878931695678	165.191367459597	132.680110168472
KLMA_40153	145.300948326741	125.783408199867	124.049048088618	128.587724859456	110.236103831433	130.725264771362	322.823559351965	319.489516055371	105.71581070113	109.363023747957	132.911423332306	171.899462072411	119.943595211792	130.682667429984	138.863477083316	152.924019497095	140.657996054707	124.064518599091
KLMA_40154	415.035155592871	383.067652245048	374.775302064342	366.195477317146	136.220328305985	127.457133152078	323.664245704444	329.19776101838	238.461232092889	249.881792633414	100.074483450207	102.977507939605	606.773481659656	518.996879221936	183.138788617127	195.402913801844	83.4134627766284	105.110217146452
KLMA_40155	331.564398043467	332.427578813933	384.762301698595	475.774581979986	440.944415325733	442.014801508167	348.884836278817	319.489516055371	534.585633659122	558.895917874736	599.665068799287	586.242033388459	398.636066439192	354.710097309956	334.07735066421	336.645237365133	382.720593916295	411.825277016427
KLMA_40156	1065.02503613962	985.031105772981	1220.51648161767	1239.47385223223	996.849338932817	1116.0669479855	565.781915218418	524.24522800246	805.482398580768	877.447516117333	1132.09259403047	1123.83327562435	1456.96190654324	1351.63216027583	868.399860310883	860.19760967116	1274.09975496066	1323.35486505697
KLMA_40157	57.1929264690362	46.556196541509	51.5118928503583	62.6166312359089	50.393647465798	41.6686781458715	42.0343176239538	55.6017666063216	65.4717236728588	79.4789416772947	64.1102159602888	69.7328006520159	42.333033604162	74.6758099599908	48.3003398550665	55.2225625961733	50.7023009034408	67.2016142411743
