gene_id	gene_name
KLMA_20233	NSA1
KLMA_20234	CUE3
KLMA_20236	ABD1
KLMA_20237	PRP5
KLMA_20239	RMD9
KLMA_20240	MLC1
KLMA_20241	ERT1
KLMA_20242	ARC1
KLMA_20243	TRX3
KLMA_20244	COQ2
KLMA_20246	MVD1
KLMA_20247	TUP1
KLMA_20248	CSM1
KLMA_20250	ABP1
KLMA_20252	YMD8
KLMA_20253	STP2
KLMA_20254	MCM6
KLMA_20256	GPH1
KLMA_20258	JEN1
KLMA_20259	ARO8
KLMA_20260	KEX1
KLMA_20262	CHO1
KLMA_20263	POX1
KLMA_20264	CHC1
KLMA_20265	SPT16
KLMA_20267	NAB2
KLMA_20268	RPS2
KLMA_20270	MON1
KLMA_20272	ROT2
KLMA_20273	SLX1
KLMA_20274	MCX1
KLMA_20276	MET13
KLMA_20277	TDP1
KLMA_20278	PDB1
KLMA_20280	YRM1
KLMA_20281	SCS3
KLMA_20282	HSP60
KLMA_20283	ATG22
KLMA_20285	RNA15
KLMA_20286	DST1
KLMA_20288	CYS4
KLMA_20289	VPS20
KLMA_20290	HEM2
KLMA_20293	LSM2
KLMA_20294	GDI1
KLMA_20296	GPD2
KLMA_20297	HOS2
KLMA_20298	IME4
KLMA_20299	COX13
KLMA_20300	CDC55
KLMA_20301	RIM15
KLMA_20302	REX2
KLMA_20304	AGX1
KLMA_20305	SHM2
KLMA_20306	MNL2
KLMA_20307	CAK1
KLMA_20308	ERG3
KLMA_20309	CAF16
KLMA_20310	SPT8
KLMA_20311	GYP8
KLMA_20312	coa6
KLMA_20314	ZRC1
KLMA_20316	isp4
KLMA_20317	SPS4
KLMA_20318	RPL20B
KLMA_20319	DGK1
KLMA_20320	NOP58
KLMA_20322	SNU66
KLMA_20323	SLY41
KLMA_20324	YHM2
KLMA_20326	MCH5
KLMA_20327	RRG7
KLMA_20329	CUS1
KLMA_20330	NAT1
KLMA_20331	GAL7
KLMA_20332	GAL10
KLMA_20333	GAL1
KLMA_20335	MRPL51
KLMA_20336	GCD2
KLMA_20337	MRP13
KLMA_20339	RPL11
KLMA_20340	PRE2
KLMA_20341	FHL1
KLMA_20342	COG4
KLMA_20343	PIL1
KLMA_20344	YTH1
KLMA_20346	RTS1
KLMA_20347	SPO7
KLMA_20348	MDM10
KLMA_20349	SWC3
KLMA_20350	SMC5
KLMA_20351	MSE1
KLMA_20352	OPI10
KLMA_20353	SIL1
KLMA_20354	CYS3
KLMA_20356	RPS15
KLMA_20357	DEP1
KLMA_20359	NOP12
KLMA_20360	SYN8
KLMA_20362	NGL1
KLMA_20363	NTG1
KLMA_20364	TPD3
KLMA_20366	MUP1
KLMA_20367	PSK1
KLMA_20369	GAL11
KLMA_20370	GSH2
KLMA_20372	FUN30
KLMA_20373	RAT1
KLMA_20374	CCC2
KLMA_20376	TIF34
KLMA_20381	OSW5
KLMA_20383	IMP1
KLMA_20385	LUC7
KLMA_20386	ASM4
KLMA_20387	NUR1
KLMA_20388	RIM13
KLMA_20389	RAM1
KLMA_20390	UBX3
KLMA_20393	STP3
KLMA_20394	ARC35
KLMA_20395	MRPS12
KLMA_20396	PTC6
KLMA_20397	RSM19
KLMA_20398	DBP6
KLMA_20399	SRB8
KLMA_20400	ZRG17
KLMA_20403	RPL28
KLMA_20405	ALG7
KLMA_20406	SEH1
KLMA_20407	HYR1
KLMA_20408	ISW1
KLMA_20409	LSG1
KLMA_20410	USE1
KLMA_20411	ENP1
KLMA_20412	SRM1
KLMA_20413	HIS7
KLMA_20414	ARO4
KLMA_20415	BBP1
KLMA_20417	CLN2
KLMA_20418	ROT1
KLMA_20419	VPS27
KLMA_20422	RAD14
KLMA_20423	MCH1
KLMA_20424	SEC61
KLMA_20425	RSM26
KLMA_20426	RAD55
KLMA_20428	MUC1
KLMA_20429	UBP3
KLMA_20430	SHU2
KLMA_20432	PET122
KLMA_20433	OXA1
KLMA_20434	BEM2
KLMA_20436	IRC19
KLMA_20437	RIX7
KLMA_20439	GRC3
KLMA_20440	RIM101
KLMA_20442	UBI4
KLMA_20443	ECM29
KLMA_20444	TFC6
KLMA_20445	UBA4
KLMA_20446	ERP5
KLMA_20447	CTM1
KLMA_20448	BCP1
KLMA_20449	EAF1
KLMA_20450	GGA2
KLMA_20451	CLN1
KLMA_20452	SPC110
KLMA_20454	TRP4
KLMA_20457	POM33
KLMA_20459	SSA2
KLMA_20462	uapC
KLMA_20463	HAH1
KLMA_20464	VMA7
KLMA_20465	CHS5
KLMA_20466	SDH1
KLMA_20467	DBR1
KLMA_20468	MCR1
KLMA_20470	RPC34
KLMA_20471	ADP1
KLMA_20473	FAB1
KLMA_20474	ATG18
KLMA_20475	ROD1
KLMA_20476	STP22
KLMA_20478	CBF5
KLMA_20479	DNAJB13
KLMA_20480	LST8
KLMA_20482	RLP7
KLMA_20483	LEU2
KLMA_20484	NFS1
KLMA_20485	PET8
KLMA_20486	DCC1
KLMA_20487	BUD3
KLMA_20488	HRB1
KLMA_20490	TPN1
KLMA_20491	COX4
KLMA_20492	RPS26A
KLMA_20493	FRS1
KLMA_20495	RPL22A
KLMA_20497	GAB1
KLMA_20498	SEC23
KLMA_20499	AOS1
KLMA_20500	HDA3
KLMA_20501	PRP4
KLMA_20502	BET2
KLMA_20503	DPB2
KLMA_20508	UTP8
KLMA_20509	SYF2
KLMA_20511	RSM18
KLMA_20512	PKP1
KLMA_20513	GVP36
KLMA_20514	TPA1
KLMA_20515	ISD11
KLMA_20517	CAJ1
KLMA_20518	TED1
KLMA_20521	NOT3
KLMA_20524	CST6
KLMA_20525	CKA1
