reaction	linear_coefficient
r_0205	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0206	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0207	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0208	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0209	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0210	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0211	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0212	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0213	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0214	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0215	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0216	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0217	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0218	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0219	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0220	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0221	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0222	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0223	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0224	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0225	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0226	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0227	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0228	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0229	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0230	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0231	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0232	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0233	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0234	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0235	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0236	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0237	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0238	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0239	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0240	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0241	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0242	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0243	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0244	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0245	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0246	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0247	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0248	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0249	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0250	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0251	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0252	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0253	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0254	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0255	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0256	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0257	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0258	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0259	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0260	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0261	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0262	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0263	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0264	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0265	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0266	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0267	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0268	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0269	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0270	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0271	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0272	[0.5609812092425023, 0.3254286540897923, 0.24683173402999609]
r_0273	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0274	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0275	[0.11338783272802223, 0.10122413520296471, 0.10087569691621018]
r_0276	[0.5609812092425023, 0.3254286540897923, 0.24683173402999609]
r_0277	[0.5609812092425023, 0.3254286540897923, 0.24683173402999609]
r_0278	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0279	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0280	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0281	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0282	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0283	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0284	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0285	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0286	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0287	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0288	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0289	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0290	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0291	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0292	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0293	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0294	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0295	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0296	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0297	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0298	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0299	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0300	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0301	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0302	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0303	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0304	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0305	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0306	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0307	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0308	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0309	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0310	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0311	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0312	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0313	[0.1365730613209152, 0.10984593786040923, 0.10100506598994226]
r_0314	[0.16301888897139735, 0.14248830862025466, 0.18582497511735163]
r_0315	[0.1365730613209152, 0.10984593786040923, 0.10100506598994226]
r_0316	[0.3694746057701093, 0.4633492592639604, 0.47784793712240753]
r_0317	[0.5609812092425023, 0.591575042672661, 0.577933396950164]
r_0318	[0.023591611622992326, 0.008650040002392724, 0.01758049472921048]
r_0319	[0.5609812092425023, 0.4633492592639604, 0.577933396950164]
r_0320	[0.05715660192170626, 0.05705151525603405, 0.04991352251402439]
r_0321	[0.0810074891457336, 0.057748036431417155, 0.06553945849119504]
r_0322	[0.1365730613209152, 0.1319087167130846, 0.11299018660637634]
r_0323	[0.3350634392453768, 0.3254286540897923, 0.2562571951161662]
r_0324	[0.5609812092425023, 1.0, 0.577933396950164]
r_0325	[0.010763361594948924, 0.017547469673833523, 0.008732412476893154]
r_0326	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0327	[0.046314263878995676, 0.04090916639411505, 0.037586497917013295]
r_0328	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0329	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0330	[0.023535199874591142, 0.018356940229008453, 0.01758049472921048]
r_0331	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0332	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0333	[0.5609812092425023, 0.4633492592639604, 0.47784793712240753]
r_0334	[0.5609812092425023, 0.4633492592639604, 0.47784793712240753]
r_0335	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0336	[0.001139735759314829, 0.0007556618781114047, 0.0008826435696909414]
r_0337	[0.03392624393009215, 0.028296485650691518, 0.028465978218924878]
r_0338	[0.03392624393009215, 0.028296485650691518, 0.028465978218924878]
r_0339	[0.03392624393009215, 0.028296485650691518, 0.028465978218924878]
r_0340	[0.03759300757617014, 0.028296485650691518, 0.028465978218924878]
r_0341	[0.004050581976816742, 0.0035040967863798206, 0.0034607843962022487]
r_0342	[0.00445674656530538, 0.0028169880593127135, 0.002961789397522648]
r_0343	[0.00713066343952225, 0.005593660312529103, 0.00597424068584769]
r_0344	[0.001139735759314829, 0.0007556618781114047, 0.0008826435696909414]
r_0345	[0.0010946063605938698, 0.0006897747398994906, 0.0007625151440828877]
r_0346	[0.00445674656530538, 0.0028358129559446893, 0.0030819178231307016]
r_0347	[0.17846442568364673, 0.1570870159583516, 0.14696804975720848]
r_0348	[0.008067098462982173, 0.005518360726001192, 0.0056323367052709215]
r_0349	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0350	[0.03270775016462625, 0.028296485650691518, 0.028465978218924878]
r_0351	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0352	[0.03270775016462625, 0.028296485650691518, 0.028465978218924878]
r_0353	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0354	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0355	[0.003531593891525706, 0.0027416884727848117, 0.0027584951388013204]
r_0356	[0.0032720998488801876, 0.002798163162680738, 0.0026753293056880558]
r_0357	[0.00445674656530538, 0.0028169880593127135, 0.002961789397522648]
r_0358	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0359	[0.0044341818659448945, 0.0026005017480450004, 0.0028324203237908956]
r_0360	[0.046314263878995676, 0.029576578621665794, 0.0369119306039834]
r_0361	[0.008067098462982173, 0.005518360726001192, 0.0056323367052709215]
r_0362	[0.09434322646777717, 0.06239778589951501, 0.06553945849119504]
r_0363	[0.03372316163584788, 0.028296485650691518, 0.018818741577785732]
r_0364	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0365	[0.0044341818659448945, 0.0026005017480450004, 0.0028324203237908956]
r_0366	[0.03759300757617014, 0.028381197685535396, 0.023143364899675715]
r_0367	[0.03759300757617014, 0.028381197685535396, 0.023143364899675715]
r_0368	[0.09137596850187404, 0.06239778589951501, 0.04629118844953534]
r_0369	[0.00713066343952225, 0.003635871062803649, 0.004597384115416921]
r_0370	[0.5609812092425023, 0.4633492592639604, 0.47784793712240753]
r_0371	[0.03759300757617014, 0.023853810045545334, 0.022829182863470014]
r_0372	[0.046314263878995676, 0.029576578621665794, 0.0369119306039834]
r_0373	[0.03392624393009215, 0.028296485650691518, 0.0250376977650335]
r_0374	[0.03392624393009215, 0.028296485650691518, 0.0250376977650335]
r_0375	[0.0025613118190250628, 0.0015745448816023352, 0.0016773393083288346]
r_0376	[0.03372316163584788, 0.028296485650691518, 0.018818741577785732]
r_0377	[0.0032495351495197035, 0.0020639921940336964, 0.0020192432889056043]
r_0378	[0.02666041073601765, 0.02122773696538473, 0.022829182863470014]
r_0379	[0.0032495351495197035, 0.0020639921940336964, 0.0020192432889056043]
