reaction	linear_coefficient
r_0028_REV	[0.012448108352606683, 0.014588655569136895, 0.018362065537885757, 0.015410701597623318, 0.012126580379441856, 0.011253433469444206]
r_0029_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.012145391661658279, 0.007101389801810972, 0.008680113160476908]
r_0029_EXP_2	[0.0007730489382106182, 0.0009014006409067981, 0.0010620433199866298, 0.0011102177214390456, 0.0006928602449446476, 0.0006347898956596704]
r_0029_REV_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.012145391661658279, 0.007101389801810972, 0.008680113160476908]
r_0029_REV_EXP_2	[0.0007730489382106182, 0.0009014006409067981, 0.0010620433199866298, 0.0011102177214390456, 0.0006928602449446476, 0.0006347898956596704]
r_0030	[0.0007730489382106182, 0.0009014006409067981, 0.0010620433199866298, 0.0011102177214390456, 0.0006928602449446476, 0.0006347898956596704]
r_0030_REV	[0.0007730489382106182, 0.0009014006409067981, 0.0010620433199866298, 0.0011102177214390456, 0.0006928602449446476, 0.0006347898956596704]
r_0031	[0.0021188771127807677, 0.0019843092668757156, 0.0025375249590398608, 0.0026248494387240365, 0.0017091909235666196, 0.0019066608529653374]
r_0032	[0.000789871790392744, 0.0009014006409067981, 0.0010251562790102974, 0.0010315355543073586, 0.0005234717985076494, 0.0005756331069477798]
r_0033	[0.012095630718949209, 0.012391315097152536, 0.007812371818655152, 0.008427659264686013, 0.014228629500707626, 0.013945067355835264]
r_0034	[0.002758145495701589, 0.0028719392881617145, 0.002389976795134536, 0.002054403727019302, 0.0024432075247936, 0.002291179979592634]
r_0034_REV	[0.002758145495701589, 0.0028719392881617145, 0.002389976795134536, 0.002054403727019302, 0.0024432075247936, 0.002291179979592634]
r_0035_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.00534094007324099, 0.004808279576628392, 0.012126580379441856, 0.011933736539630944]
r_0035_EXP_2	[0.0029263740175228567, 0.0029251970894388717, 0.003625692667841626, 0.0033920005682580023, 0.0057745136380545235, 0.006727939132984496]
r_0036_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.00534094007324099, 0.004808279576628392, 0.012126580379441856, 0.011933736539630944]
